Rk,Player,Age,Team,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
21,Mark Olberding,25,SAS,PF,9,328,11.2,.494,.008,.258,6.1,12.7,9.2,13.3,1.3,1.0,16.8,19.3,0.0,0.2,0.2,.027,-1.6,-0.1,-1.7,0.0,,olberma01
22,Jack Sikma,26,SEA,C,8,315,19.5,.534,.000,.453,7.1,24.6,16.0,12.4,1.4,1.4,9.4,22.8,0.7,0.6,1.3,.197,2.7,0.7,3.4,0.4,,sikmaja01
23,Gus Williams,28,SEA,PG,8,315,22.3,.498,.032,.301,4.1,4.5,4.3,38.5,2.1,0.9,7.9,30.7,0.7,0.4,1.1,.166,7.2,-0.2,7.0,0.7,,willigu01
24,Gerald Henderson,26,BOS,PG,12,310,10.3,.461,.022,.376,4.2,4.3,4.2,21.6,2.2,0.4,18.7,17.5,0.0,0.4,0.4,.067,0.2,-0.4,-0.2,0.1,,hendege01
25,M.L. Carr,31,BOS,SF,12,305,7.2,.387,.038,.219,7.4,7.4,7.4,12.8,1.8,0.0,15.4,18.1,-0.3,0.4,0.1,.019,-1.8,-1.2,-3.0,-0.1,,carrml01
26,Johnny Moore,23,SAS,PG,9,292,16.9,.501,.037,.329,3.1,8.3,5.5,41.8,2.4,1.1,13.8,14.7,0.6,0.2,0.8,.124,2.0,1.8,3.8,0.4,,moorejo01
27,Frank Johnson,23,WSB,PG,7,280,12.0,.469,.115,.269,2.7,6.2,4.4,33.6,1.8,0.0,20.0,21.7,-0.1,0.3,0.2,.038,1.8,-1.3,0.5,0.2,,johnsfr01
28,Kurt Rambis,23,LAL,PF,14,279,11.8,.543,.000,.406,12.8,19.5,16.3,4.6,1.3,2.2,18.4,13.0,0.2,0.4,0.6,.099,-0.9,-0.4,-1.4,0.0,,rambiku01
29,Tiny Archibald,33,BOS,PG,8,277,10.3,.516,.057,.400,0.4,5.9,3.2,25.6,0.9,0.4,21.8,15.5,0.1,0.3,0.5,.082,0.5,-1.7,-1.3,0.1,,architi01
30,Dennis Johnson,27,PHO,SG,7,271,16.2,.523,.023,.295,5.0,7.5,6.2,16.1,2.6,0.8,14.4,25.3,0.2,0.0,0.3,.046,-0.5,-0.6,-1.1,0.1,,johnsde01
31,Greg Ballard,27,WSB,SF,7,268,13.4,.419,.000,.250,9.0,17.7,13.2,12.9,2.6,0.7,9.8,19.2,0.0,0.5,0.5,.085,1.7,1.2,2.8,0.3,,ballagr01
32,Lonnie Shelton,26,SEA,PF,8,266,11.8,.515,.000,.376,9.6,13.4,11.6,9.3,1.0,1.5,16.8,18.9,0.1,0.4,0.4,.077,-1.2,-0.6,-1.8,0.0,,sheltlo01
33,Dave Corzine,25,SAS,C,9,258,16.1,.504,.000,.321,14.7,20.0,17.2,9.3,1.1,1.9,14.2,21.5,0.2,0.2,0.4,.080,0.4,-0.7,-0.3,0.1,,corzida01
34,Sidney Moncrief,24,MIL,SG,6,252,13.1,.507,.014,.514,6.9,8.4,7.6,14.0,1.8,0.5,11.7,17.3,0.4,0.0,0.4,.076,0.6,-0.2,0.4,0.2,,moncrsi01
